SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	14491	34	101	1034	10851	1977	110	1327	29925
19	14470	33	229	1207	18954	2006	155	1007	38061
20	21305	73	2931	2060	16573	1528	508	994	45972
21	86395	213	5897	8732	73301	13242	2378	1302	191460
22	79147	427	4362	22513	76677	6957	1790	1407	193280
23	104415	957	4959	19916	90695	11783	282	3888	236895
24	201618	2376	6704	41185	156323	19083	532	6987	434808
25	2194	22	144	379	15105	215	80	12751	30890
26	132	0	18	106	15806	362	130	14923	31477
27	67	0	8	174	4006	102	228	3487	8072
28	81	0	4	440	18040	142	858	17242	36807
29	30	0	1	130	7336	182	242	6927	14848
30	34	0	0	110	6714	251	214	6295	13618
