SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	46233	100	10	841	167	0	0	1075	567	0	1013064	1843639	35394	314	23920	2965324
19	48849	99	59	3145	176	0	0	1134	863	0	854839	2254109	291655	232	19450	3474610
20	66460	195	92	7611	210	0	0	1777	1966	0	749649	4343183	148825	521	16335	5336824
21	341050	672	28	60609	1740	0	6	9904	7162	0	928282	1889367	81615	609	25590	3346634
22	357338	996	44	194742	1160	0	3	4767	22005	0	886035	2052183	96071	1008	33823	3650175
23	333152	3766	273	77369	2957	0	0	7957	18612	0	974090	2107739	141783	2105	70426	3740229
24	564378	13449	445	26498	7777	0	0	4654	39672	0	1051928	2686513	114560	406	216264	4726544
25	16599	106	78	1370	52	0	0	1907	576	0	2653455	3462659	43249	796	78875	6259722
26	9055	6	0	996	0	0	0	2536	70	0	1041024	2534465	116911	464	539315	4244842
27	7256	3	3	392	3	0	0	7443	28	0	1362251	2759402	108202	1357	69099	4315439
28	7083	3	0	185	0	0	0	13855	41	0	1540814	2621469	77708	1356	73798	4336312
29	5817	0	0	191	0	0	0	3904	12	0	1109699	2003388	77279	768	115872	3316930
30	5860	0	0	57	0	0	0	4279	12	0	1358455	2855492	123589	493	411089	4759326
