SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	0	13	297	13	9478	22105	377	13730	26	46039
19	0	16	691	4	15852	37139	862	23509	48	78121
20	0	139	4863	64	20633	54201	981	30476	127	111484
21	0	572	11131	266	77490	199126	4115	118883	396	411979
22	0	318	15799	195	31584	134070	3488	50442	184	236080
23	0	1511	8386	64	15831	116682	10651	25584	125	178834
24	0	1955	7147	0	12750	157611	12703	20610	116	212892
25	0	47	950	2	4606	10130	164	8127	4	24030
26	0	0	544	0	195	427	54	223	0	1443
27	0	0	212	0	862	1717	30	1633	5	4459
28	0	0	62	0	1958	3902	81	3879	0	9882
29	0	0	30	0	30	68	30	53	0	211
30	0	0	11	0	41	64	108	62	0	286
