SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	11359	0	404	310	43136	10999	304	16713	83225
19	14981	4	1708	353	257235	226666	199	11480	512626
20	15561	9	5208	678	49193	41781	513	8776	121719
21	51898	15	52305	2116	97963	14019	578	13331	232225
22	151926	71	172333	15038	178659	32005	995	14120	565147
23	52719	22	56960	3669	150180	81013	2086	20559	367208
24	15280	0	5892	1338	240920	25041	402	185883	474756
25	11486	1	906	1022	91871	19074	796	50350	175506
26	9145	6	850	465	96168	75042	462	10267	192405
27	8894	3	286	1343	79526	25870	1355	38347	155624
28	9009	3	134	1361	58769	38767	1352	20488	129883
29	6765	0	95	743	77379	22613	767	48500	156862
30	5949	0	36	436	142503	74172	493	68618	292207
