SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	48805	135	10	2222	184	0	0	18667	1330	0	1020373	2541683	37226	23502	651693	4345830
19	52883	149	59	5699	196	0	0	32657	1728	0	862432	2810928	295182	19681	496912	4578506
20	72102	333	92	24706	247	0	0	18809	2983	0	757853	4774228	150385	20640	379025	6201403
21	382876	1089	58	92439	1899	0	6	265523	10210	0	932158	2634812	84029	257937	223219	4886255
22	412650	1399	44	259626	1271	0	3	411918	25758	0	890330	3210224	102078	399205	353335	6067841
23	353201	4711	273	115066	3216	0	0	109615	28860	6	978053	4233162	145381	97043	1938351	8006938
24	591133	15070	451	35840	8398	0	0	103770	56683	0	1053988	7999090	116717	88407	5241287	15310834
25	17410	187	78	2689	63	0	0	26866	890	0	2655224	15007406	43938	28370	9347769	27130890
26	9475	14	0	1750	0	0	0	48908	88	0	1043106	11439107	122834	45404	8024252	20734938
27	7542	3	3	910	3	0	0	166953	50	0	1363531	5461708	110708	129431	1949720	9190562
28	7250	6	0	821	0	0	0	444986	41	0	1541889	15491406	79470	332767	10214342	28112978
29	6047	6	0	700	0	0	0	100978	23	0	1110536	13369696	78583	83524	11224052	25974145
30	5896	0	0	539	0	0	0	101641	20	0	1359266	7398041	124105	87057	4670647	13747212
