SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	44385	138	8931	5238	191917	44983	104061	26589	426242
19	45230	177	19386	4618	634932	299180	291961	21363	1316847
20	66192	610	64774	7347	278020	156054	186614	18718	778329
21	329634	2542	300500	34841	986015	117662	667360	34621	2473175
22	329293	2391	1090442	91394	931595	146996	348361	57234	2997706
23	304464	9871	352344	67532	909558	207758	209120	75002	2135649
24	518995	22328	110709	114426	1311198	199809	102789	219305	2599559
25	16498	310	59194	3861	170933	45144	43387	79603	418930
26	8759	6	29785	3197	666701	117848	14290	540187	1380773
27	8346	3	12979	8356	142819	108505	11484	70119	362611
28	8680	10	4296	14334	141360	78022	19316	74851	340869
29	6575	79	1605	4171	173478	77451	3394	120066	386819
30	5911	0	752	4961	515940	123643	1085	411256	1063548
