SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	661	4	9333	1620	10706	1792	74360	293	98769
19	637	11	19620	85	19922	2458	245201	1186	289120
20	1075	43	68560	356	48245	2292	123108	2567	246246
21	1527	193	341674	61528	205261	8051	525830	38612	1182676
22	1233	164	1254041	101472	118256	2887	427454	4315	1909822
23	651	625	347269	25	60061	5890	153200	1010	568731
24	1013	827	76744	12	61856	15216	56793	219	212680
25	304	22	58670	249	6471	12764	24832	92	103404
26	217	0	34212	0	3368	15727	12948	10	66482
27	133	0	16565	0	2349	13344	5396	19	37806
28	167	0	4846	0	1421	29337	9341	3	45115
29	82	3	1383	22	690	13084	1893	0	17157
30	52	0	750	0	1167	40897	94	264	43224
