SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	46929	237	18421	25253	855207	48336	127527	656318	1778228
19	49211	299	38630	38569	1159069	304826	335195	500352	2426151
20	71579	835	146905	27959	684376	159520	212393	384882	1688449
21	370901	3291	628000	360329	1522478	124894	1280950	270929	4561772
22	383092	3477	2108194	600818	1694600	158042	1311211	381478	6640912
23	323345	12176	656054	192823	2928894	215782	362933	1944272	6636279
24	544270	25379	183722	241595	6527030	212162	252059	5244964	13231181
25	17119	516	103076	30079	11683095	58562	81962	9348788	21323197
26	9072	14	58827	50396	9522609	139560	84938	8025251	17890667
27	8491	3	28020	168782	2682579	124396	251764	1950914	5214949
28	8796	16	9044	445910	12594823	109213	667098	10215570	24050470
29	6685	92	3328	101560	11442074	91913	150690	11228545	23024887
30	6743	0	2013	102569	5009414	165359	147733	4671084	10104915
