SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	20452	65	692	1489	29371	4273	24541	1820	82703
19	21413	70	1333	1851	48147	3448	39608	1966	117836
20	31324	324	11628	2992	59675	4086	50607	1517	162153
21	186017	1307	23304	13428	279861	29310	194945	2426	730598
22	129023	1133	34418	37479	249176	17849	85270	2456	556804
23	167937	4587	19118	30700	310302	40863	43400	6310	623217
24	325067	7293	21923	65202	472703	61383	39967	10669	1004207
25	3619	172	1218	664	30751	660	15366	23716	76166
26	206	0	540	252	34125	244	645	32717	68729
27	61	0	230	341	8974	160	3972	8174	21912
28	127	0	81	342	62991	277	6663	62085	132566
29	37	3	35	88	14009	178	272	13463	28085
30	40	0	17	95	14648	368	324	14242	29734
