SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	0	10	191	19	12279	447	24375	6	37327
19	0	19	401	4	19054	1321	37751	5	58555
20	0	189	1192	26	27820	1500	49600	45	80372
21	0	783	4602	63	109190	5842	192377	57	312914
22	0	423	13543	14	123163	4895	82782	18	224838
23	0	2245	6691	72	157879	17264	42975	33	227159
24	0	2683	8272	0	207886	19372	39249	10	277472
25	0	64	421	1	3183	210	15307	0	19186
26	0	0	188	0	306	7	405	0	906
27	0	0	75	0	67	0	3638	0	3780
28	0	0	13	0	21	0	6025	0	6059
29	0	0	6	0	17	1	120	0	144
30	0	0	1	0	10	1	140	0	152
