SIZE	B16As	B16Bs	I12As	I12Bs	I12Cs	I16As	I16Bs	I16Cs	I24Bs	I24Ds	M12As	M16As	M24As
12	568291	848064	23525	36867	1093	9111	22286	19033	66672	61901	82144	80411	18792
13	7235001	12476886	141082	205811	6530	48543	115674	119804	381244	380072	453737	414003	110408
14	5904419	8493999	310268	506881	17463	97186	225267	287244	1007035	1052559	1037687	1008495	235782
15	6120911	11469470	732182	1312826	45846	206676	456800	479248	2613259	2776534	2593182	2508424	428430
16	3567844	7291359	787223	1494594	52216	239372	544579	499230	2960714	3073309	2887106	2946711	445982
17	1750240	3184936	596328	1091153	38146	143243	339126	430726	2070518	2248028	1990164	2019429	403718
18	1137263	1997506	501832	885044	30430	119200	288179	452250	1758006	1902960	1713246	1721182	425247
19	765469	1472676	585548	1043455	37893	143504	337384	656799	2166158	2327204	2106699	2126135	603339
20	781636	1388025	784231	1437051	48037	184176	441590	1120865	2979914	3219065	2801910	3001894	1006914
21	871427	1371172	2434497	5295923	210073	604351	1519518	5780248	11298350	12171571	10415126	11324211	4792509
22	699593	1296346	2410118	5101852	184537	564152	1421043	2885451	9925444	10934938	8748606	10057707	2784235
23	626221	1098141	3148398	6718397	227249	729730	1778252	3647383	13103768	14437210	11156845	13244758	3464169
24	802299	1866322	7896713	18321296	618530	1722864	4360000	9219195	32228158	36734037	28680777	33109125	8496501
25	697005	1146649	470053	710900	23091	113385	268098	469055	1809730	1612319	1537524	1317997	475222
26	274264	564438	300176	356758	12473	77014	188165	173623	1516207	1219954	1001493	599637	168501
27	157628	335440	195981	210189	6004	47669	124976	148234	413503	331282	401470	350058	153519
28	264402	534631	233786	276471	8544	58871	164185	210481	559368	469514	497745	467530	245171
29	99859	192823	214804	248374	7471	61634	156713	187955	611494	511429	601552	419062	181110
30	117352	232758	255941	310936	7591	143837	330373	259187	786298	680555	769819	543849	334430
