SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.RC	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	tRNA	TOTAL
18	110304	421	311	21648	1273	0	0	0	20804	6561	0	1151916	3248626	54679	890394	5506937
19	125905	466	604	42230	1438	6	0	0	36267	8569	0	1175928	4106856	312391	519373	6330033
20	197013	1285	449	155656	2652	0	0	0	22724	14792	0	940036	5387431	191259	394949	7308246
21	775581	5708	868	668048	8639	0	0	6	331059	60883	0	1326250	5422490	282526	276973	9159031
22	891998	6629	620	2224021	9888	0	0	43	517133	115720	3	1146414	5213779	232295	393360	10751903
23	849344	21436	845	702026	12957	8	10	0	110017	137188	9	1164638	5523004	288946	1951984	10762412
24	1349601	46403	1326	231719	25033	0	11	0	104390	248311	4	1171031	9796843	360549	5251785	18587006
25	107946	1037	525	106864	825	0	0	0	27167	3933	0	2749556	15282334	62705	9368304	27711196
26	71767	17	216	59496	448	0	0	0	48908	1241	0	1130425	11676839	140229	8036551	21166137
27	27860	3	180	27970	640	0	0	0	166953	1307	0	1414837	5746114	124583	1951551	9461998
28	44745	16	268	8873	259	0	0	0	444992	722	0	1604618	16106399	109419	10217531	28537842
29	72115	92	207	3137	181	0	0	0	101005	452	0	1146413	13567836	92003	11229273	26212714
30	29697	16	183	1865	171	0	0	0	101644	930	0	1408230	7632985	165429	4671125	14012275
