SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	14123	28	63	618	8555	1946	2	440	25775
19	13496	24	122	767	17407	1965	13	264	34058
20	20335	47	287	1245	14720	1484	8	181	38307
21	77183	162	1796	6023	67011	12870	22	430	165497
22	73534	296	3820	19887	70653	5702	8	525	174425
23	98298	809	4228	15008	83033	10775	28	1972	214151
24	192684	1996	5689	33108	145152	18685	2	1332	398648
25	2101	8	115	223	3163	215	0	961	6786
26	130	0	18	27	1051	362	0	264	1852
27	65	0	8	51	489	102	4	102	821
28	78	0	4	11	449	142	4	73	761
29	30	0	1	7	440	182	2	144	806
30	23	0	0	3	519	251	0	198	994
