SIZE	B16As	B16Bs	I12As	I12Bs	I12Cs	I16As	I16Bs	I16Cs	I24Bs	I24Ds	M12As	M16As	M24As
12	0.48	0.50	2.68	2.11	2.19	3.89	3.73	2.20	2.25	1.96	2.92	2.59	2.29
13	0.75	0.83	5.55	4.06	3.74	6.24	6.03	4.80	4.15	3.92	5.07	4.38	4.95
14	0.51	0.58	6.56	5.98	6.12	6.42	6.34	5.01	6.49	6.37	7.00	5.94	5.11
15	0.98	1.02	5.16	4.98	4.86	5.52	5.26	4.52	4.92	5.01	4.87	5.03	4.65
16	1.34	1.23	5.20	4.74	4.64	5.93	5.43	4.78	4.99	4.73	5.18	5.06	4.84
17	1.80	1.28	3.77	3.73	3.61	3.43	3.42	3.45	3.57	3.63	3.50	3.63	3.42
18	1.05	1.20	4.16	4.01	3.92	3.68	3.78	3.14	3.85	3.92	3.87	3.86	3.25
19	1.20	1.63	4.87	4.76	4.97	5.25	5.69	3.99	4.88	4.78	5.03	4.98	4.63
20	1.36	1.84	4.99	4.64	4.28	4.69	4.83	3.88	4.44	4.47	4.51	4.55	4.05
21	1.36	1.74	17.51	19.43	22.30	15.43	16.20	33.63	20.22	20.71	20.38	20.34	29.83
22	2.00	2.40	14.62	15.63	15.83	16.25	15.64	12.58	16.41	16.10	15.91	15.40	14.45
23	1.93	2.36	9.20	9.66	9.57	7.95	8.03	6.92	9.25	9.54	8.31	9.50	7.23
24	2.65	3.36	12.02	13.26	12.02	9.41	9.28	8.44	11.52	12.21	10.75	11.86	8.48
25	5.29	5.92	0.34	0.27	0.21	0.35	0.37	0.16	0.24	0.23	0.24	0.25	0.17
26	4.51	4.21	0.80	1.02	0.87	1.79	1.40	0.72	1.37	1.22	1.09	0.90	0.98
27	1.73	2.51	0.21	0.23	0.20	0.35	0.51	0.04	0.25	0.18	0.24	0.26	0.05
28	4.78	6.81	0.14	0.12	0.05	0.23	0.27	0.06	0.14	0.12	0.09	0.13	0.05
29	3.94	5.74	0.12	0.08	0.04	0.19	0.19	0.04	0.07	0.05	0.06	0.07	0.04
30	2.42	3.46	0.14	0.08	0.02	0.18	0.19	0.04	0.05	0.03	0.05	0.06	0.04
