SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	0	38	71	7715	132	0	0	1585	397	0	66207	174047	2636	99374	122	352324
19	0	58	107	15534	35	0	0	75	449	0	254459	515137	4043	291369	57	1081323
20	0	400	93	55530	128	0	0	202	752	0	121631	312923	4535	185641	547	682382
21	0	1630	133	231667	489	0	0	376	2298	0	333138	1084140	22154	665362	1584	2342971
22	0	1058	143	866725	452	0	0	8350	3350	0	187414	715196	16642	337573	583	2137486
23	0	5128	282	266197	950	0	0	133	9204	3	119012	574080	38641	205028	246	1218904
24	0	7606	310	79802	975	5	0	0	10053	0	65368	582301	45427	101978	32	893857
25	0	181	297	56466	60	0	0	252	337	0	27848	56486	694	41592	7	184220
26	0	0	125	27763	3	0	0	0	37	0	12932	17632	91	13479	0	72062
27	0	0	72	12178	0	0	0	0	58	0	6293	11704	19	8835	0	39159
28	0	7	121	3796	0	0	0	0	75	0	9254	18185	58	16677	3	48176
29	0	79	82	1185	0	0	0	0	25	0	1229	2711	11	1947	0	7269
30	0	0	83	532	0	0	0	0	53	0	156	1292	10	244	0	2370
