SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	609	4	9288	1619	7053	1516	63050	288	83427
19	620	10	19550	85	14571	2042	231650	1183	269711
20	1024	16	67660	355	41539	1896	106926	2554	221970
21	519	14	340370	61526	180593	6098	478090	38575	1105785
22	1036	40	1253391	101465	90249	1381	401065	4266	1852893
23	180	16	345959	0	20223	1817	137740	972	506907
24	105	13	74360	10	10216	8658	42350	129	135841
25	295	3	58630	249	5629	12700	18449	84	96039
26	217	0	34206	0	3269	15727	12872	10	66301
27	133	0	16565	0	2331	13335	3578	19	35961
28	167	0	4846	0	1417	29334	6773	3	42540
29	82	0	1383	22	687	13084	1818	0	17076
30	52	0	750	0	1163	40897	42	264	43168
