SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	11784	19	9813	14861	41342	473686	13894	84690	344865	994954
19	15381	23	21673	20627	216444	755626	231435	250891	238388	1750488
20	17780	34	75809	12686	68699	371145	43648	126281	157362	873444
21	67091	68	395448	306665	132202	1300624	20457	671361	163088	3057004
22	190600	145	1434134	502444	106844	1488139	34283	695716	169782	4622087
23	54292	52	403977	80470	79048	1290181	82974	233532	840713	3065239
24	15442	12	80365	75377	29925	2744100	33721	129962	2477891	5586795
25	11108	7	59372	20493	15584	6198824	31791	46456	6090604	12474239
26	8970	6	34775	35606	12964	5678231	90774	58025	5501922	11421273
27	7237	3	16803	121214	5424	1589938	39209	132687	1299412	3211927
28	7056	6	5108	324508	6347	6405849	68076	338746	5710864	12866560
29	5994	3	1594	74202	2132	4282458	35709	85111	4101852	8589055
30	5831	0	871	73566	177	2686608	115081	86807	2465026	5433967
