SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	48805	229	81	18043	332	0	0	20327	2292	0	1086588	2721375	41329	123024	652100	4714525
19	52883	269	166	37908	244	0	0	32756	2744	0	1119854	3337242	301206	314061	498297	5697630
20	72102	813	189	145178	403	0	0	19410	4603	0	880173	5107762	156736	207752	382287	6977408
21	382876	3034	191	619500	2436	0	6	327682	14695	0	1265758	3849047	109921	986490	263049	7824685
22	412650	2823	187	2078908	1820	0	3	513817	31750	0	1078631	4047980	120610	831579	358281	9479039
23	353201	11135	555	647060	4335	0	0	109757	45220	9	1097367	4826569	186585	302557	1939856	9524206
24	591133	24025	761	179128	9530	5	0	103791	72098	0	1119422	8601255	171971	190523	5241857	16305499
25	17410	493	375	101704	127	0	0	27118	1391	0	2683084	15066202	57340	69984	9347879	27373107
26	9475	14	125	57783	9	0	0	48908	159	0	1056038	11465298	138714	58883	8024262	20859668
27	7542	3	75	27590	3	0	0	166953	131	0	1369824	5479025	124119	138266	1949753	9263284
28	7250	16	121	8693	0	0	0	444986	128	0	1551143	15530998	108973	349444	10214345	28216097
29	6047	92	82	3077	0	0	0	101005	55	0	1111765	13379934	91746	85515	11224052	26003370
30	5896	0	83	1835	0	0	0	101641	76	0	1359422	7456978	165312	87301	4670914	13849458
