SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	13067	15	562	13242	405283	12391	23273	344585	812418
19	16597	13	2244	20542	509731	229481	19369	237265	1035242
20	18742	18	8904	12331	222963	41821	19470	154886	479135
21	68135	54	60736	245139	703768	14388	254368	125122	1471710
22	191935	105	194211	400982	1099415	32932	396911	165674	2482165
23	55649	36	62603	80470	1133095	81181	96606	839748	2349388
24	16527	0	6935	75367	2691686	25069	87715	2477770	5381069
25	11983	4	1113	20244	6175034	19094	28276	6090520	12346268
26	9534	6	1045	35606	5662146	75050	45174	5501912	11330473
27	9165	3	394	121214	1584092	25874	129123	1299393	3169258
28	9165	6	300	324508	6397748	38779	331973	5710861	12813340
29	6991	3	233	74180	4279991	22628	83293	4101852	8569171
30	5981	0	124	73566	2685430	74184	86765	2464762	5390812
