SIZE	B16As	B16Bs	I12As	I12Bs	I12Cs	I16As	I16Bs	I16Cs	I24Bs	I24Ds	M12As	M16As	M24As
12	1.67	1.41	0.09	0.07	0.06	0.14	0.14	0.04	0.07	0.06	0.09	0.08	0.05
13	21.23	20.79	0.56	0.42	0.38	0.75	0.74	0.27	0.39	0.37	0.50	0.44	0.31
14	17.33	14.16	1.23	1.02	1.02	1.50	1.44	0.64	1.03	1.01	1.15	1.06	0.67
15	17.96	19.12	2.91	2.65	2.68	3.20	2.91	1.07	2.67	2.67	2.86	2.64	1.21
16	10.47	12.15	3.13	3.02	3.05	3.70	3.47	1.11	3.02	2.96	3.19	3.10	1.26
17	5.14	5.31	2.37	2.20	2.23	2.22	2.16	0.96	2.12	2.17	2.20	2.13	1.14
18	3.34	3.33	1.99	1.79	1.78	1.84	1.84	1.01	1.80	1.83	1.89	1.81	1.21
19	2.25	2.45	2.33	2.11	2.21	2.22	2.15	1.47	2.21	2.24	2.33	2.24	1.71
20	2.29	2.31	3.12	2.90	2.80	2.85	2.81	2.50	3.04	3.10	3.10	3.16	2.85
21	2.56	2.29	9.67	10.69	12.27	9.35	9.68	12.90	11.54	11.72	11.50	11.92	13.58
22	2.05	2.16	9.57	10.30	10.77	8.73	9.05	6.44	10.14	10.53	9.66	10.59	7.89
23	1.84	1.83	12.51	13.56	13.27	11.29	11.33	8.14	13.39	13.91	12.32	13.94	9.82
24	2.35	3.11	31.37	36.98	36.11	26.66	27.78	20.58	32.92	35.38	31.68	34.85	24.08
25	2.05	1.91	1.87	1.44	1.35	1.75	1.71	1.05	1.85	1.55	1.70	1.39	1.35
26	0.80	0.94	1.19	0.72	0.73	1.19	1.20	0.39	1.55	1.18	1.11	0.63	0.48
27	0.46	0.56	0.78	0.42	0.35	0.74	0.80	0.33	0.42	0.32	0.44	0.37	0.44
28	0.78	0.89	0.93	0.56	0.50	0.91	1.05	0.47	0.57	0.45	0.55	0.49	0.69
29	0.29	0.32	0.85	0.50	0.44	0.95	1.00	0.42	0.62	0.49	0.66	0.44	0.51
30	0.34	0.39	1.02	0.63	0.44	2.23	2.10	0.58	0.80	0.66	0.85	0.57	0.95
