SIZE	B16As	B16Bs	I12As	I12Bs	I12Cs	I16As	I16Bs	I16Cs	I24Bs	I24Ds	M12As	M16As	M24As
12	604276	809542	645666	1016091	38405	254937	623024	726199	2214118	2060754	2704895	2538694	695084
13	929501	1339353	1339645	1952732	65552	409049	1005804	1584021	4087253	4115834	4698760	4296063	1500968
14	637965	947197	1584039	2878933	107098	420845	1057629	1651942	6396133	6692174	6483086	5827813	1549858
15	1217940	1651376	1245146	2398556	85069	361469	877137	1490720	4843194	5269095	4510418	4940572	1411692
16	1673593	1993046	1254625	2282929	81176	388297	905894	1576051	4916319	4972146	4797689	4966725	1467871
17	2250949	2084892	910936	1796627	63111	224577	570347	1139892	3514813	3816909	3239816	3564212	1036724
18	1311475	1950752	1003003	1928024	68666	241381	630656	1036845	3789421	4124299	3581840	3791700	986852
19	1499105	2639652	1174800	2289256	86912	344109	949081	1317565	4804961	5025702	4658143	4892238	1404725
20	1701540	2987313	1204535	2234254	74904	307055	805906	1280002	4369795	4701348	4172919	4461920	1230530
21	1700072	2829735	4224533	9349512	390381	1010893	2701778	11097785	19924033	21774944	18870373	19968073	9053298
22	2492231	3887730	3528805	7522515	277076	1064699	2608664	4152428	16162236	16920959	14733208	15119484	4386027
23	2402534	3838699	2220718	4651275	167502	521077	1340410	2284741	9111036	10027978	7693498	9327310	2193802
24	3304136	5457326	2901011	6381598	210436	616432	1547586	2784628	11348302	12836308	9957425	11646246	2574737
25	6602078	9615973	82562	130890	3679	22824	61991	52386	240712	238408	220542	241818	51157
26	5623956	6840330	192189	488681	15142	117275	232750	237447	1354626	1281162	1010295	884603	296419
27	2163227	4082152	49978	108334	3544	23071	84510	13484	242528	188245	224424	259543	14172
28	5961929	11059459	33195	55355	933	15197	45833	18230	137585	127743	82603	132234	16049
29	4912930	9318974	29034	38378	771	12457	31732	11970	67805	55266	55221	70281	12667
30	3022557	5618146	33123	38397	422	11619	32032	12034	46586	34517	44488	58394	12928
