SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	50123	135	2232	20181	766126	37226	23502	651693	1551218
19	54195	149	5758	34581	913941	295182	19681	496912	1820399
20	73151	333	24798	22039	530996	150385	20640	379025	1201367
21	387093	1089	92503	277632	918618	84029	257937	223219	2242120
22	414601	1399	259673	438947	1211371	102078	399205	353335	3180609
23	355223	4711	115339	141697	2495545	145381	97043	1938351	5293290
24	592243	15070	36291	168851	5967165	116717	88407	5241287	12226031
25	18300	187	2767	27819	11660061	43938	28370	9347769	21129211
26	10057	14	1750	48996	9503351	122834	45404	8024252	17756658
27	9495	3	913	167006	2668985	110708	129431	1949720	5036261
28	9396	6	821	445027	12565599	79470	332767	10214342	23647428
29	7064	6	700	101001	11423653	78583	83524	11224052	22918583
30	6046	0	539	101661	4941560	124105	87057	4670647	9931615
