SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.RC	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	tRNA	TOTAL
18	104089	234	311	9723	697	0	0	0	2830	3707	0	1142797	2297782	50743	28475	3641388
19	116691	286	604	21260	736	6	0	0	3103	5376	0	1165260	3475426	306280	23518	5118546
20	180023	934	445	70432	1808	0	0	0	3760	10249	0	930964	4900742	187171	20320	6306848
21	694171	4162	832	326784	6592	0	0	6	10566	47053	0	1321646	4211491	272340	36523	6932166
22	761671	4950	620	1178019	8598	0	0	10	13188	103426	3	1141066	3395309	215253	59283	6881396
23	796062	17552	845	387372	11098	8	7	0	8207	98958	3	1160285	3268155	278218	77604	6104374
24	1288653	40476	1314	149955	22785	0	11	0	5136	198398	0	1168829	4347243	346259	222472	7791531
25	105788	788	525	61313	380	0	0	0	2165	2652	0	2747771	3699782	49214	82891	6753269
26	70666	9	216	30073	21	0	0	0	2536	709	0	1128343	2724124	118479	550509	4625685
27	27126	3	180	12883	6	0	0	0	7443	948	0	1413557	2885333	108650	70175	4526304
28	44243	10	268	4104	9	0	0	0	13855	494	0	1603355	2787444	78184	74920	4606886
29	71674	79	207	1405	9	0	0	0	3904	297	0	1145464	2103369	77515	120098	3524021
30	29386	16	183	598	3	0	0	0	4279	715	0	1407405	2943166	123704	411262	4920717
