SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	15514	47	396	608	32814	703	13832	1325	65239
19	15290	46	909	733	55703	2483	23610	982	99756
20	22164	206	7774	1522	70936	2239	30974	1105	136920
21	126464	759	16962	5402	271808	15586	120700	1642	559323
22	85227	645	20124	5804	208971	7873	51518	1547	381709
23	115778	2413	13224	12007	202501	18071	25777	3969	393740
24	222132	4267	13690	25009	307651	26616	20891	7040	627296
25	2417	69	1094	273	25185	333	8181	12740	50292
26	191	0	562	69	16277	400	311	14898	32708
27	122	0	220	117	5830	129	1757	3488	11663
28	90	0	66	429	22379	219	4333	17240	44756
29	32	0	31	124	7533	210	198	6925	15053
30	27	0	11	110	6896	359	198	6295	13896
