SIZE	None	TE.DNA	TE.LINE	TE.LTR	TE.Low_complexity	TE.Retroposon	TE.SINE	TE.Satellite	TE.Simple_repeat	TE.Unknown	TE.rRNA	exon	intron	rRNA	tRNA	TOTAL
18	46233	138	81	8556	299	0	0	2660	964	0	1079271	2017686	38030	99688	24042	3317648
19	48849	157	166	18679	211	0	0	1209	1312	0	1109298	2769246	295698	291601	19507	4555933
20	66460	595	185	63141	338	0	0	1979	2718	0	871280	4656106	153360	186162	16882	6019206
21	341050	2302	161	292276	2229	0	6	10280	9460	0	1261420	2973507	103769	665971	27174	5689605
22	357338	2054	187	1061467	1612	0	3	13117	25355	0	1073449	2767379	112713	338581	34406	5787661
23	333152	8894	555	343566	3907	0	0	8090	27816	3	1093102	2681819	180424	207133	70672	4959133
24	564378	21055	755	106300	8752	5	0	4654	49725	0	1117296	3268814	159987	102384	216296	5620401
25	16599	287	375	57836	112	0	0	2159	913	0	2681303	3519145	43943	42388	78882	6443942
26	9055	6	125	28759	3	0	0	2536	107	0	1053956	2552097	117002	13943	539315	4316904
27	7256	3	75	12570	3	0	0	7443	86	0	1368544	2771106	108221	10192	69099	4354598
28	7083	10	121	3981	0	0	0	13855	116	0	1550068	2639654	77766	18033	73801	4384488
29	5817	79	82	1376	0	0	0	3904	37	0	1110928	2006099	77290	2715	115872	3324199
30	5860	0	83	589	0	0	0	4279	65	0	1358611	2856784	123599	737	411089	4761696
