SRR8074930	B16Bs
SRR8074931	B16As
SRR8074932	M24As
SRR23048732	M24Ds
SRR8074933	M16As
SRR19164836	M16Bs
SRR8074934	M12As
SRR19164837	M12Bs
SRR8074935	I24Ds
SRR8074936	I24Bs
SRR8074937	I16Cs
SRR8074938	I16Bs
SRR8074939	I16As
SRR8074941	I12As
SRR8074948	I12Bs
SRR8074949	I12Cs
SRR19161653	Ku70-1s
SRR19161652	Ku70-2s
SRR19161651	Ku70-3s
SRR19161648	Dcl1_Dcl2-1-30s
SRR19161649	Dcl1_Dcl2-1-29s
SRR19161650	Dcl1_Dcl2-1-26s
Control-1	Control1_AGO1IP
Control-2	Control2_AGO1IP
Control-3	Control3_AGO1IP
Treatment-1	Treatment1_AGO1IP
Treatment-2	Treatment2_AGO1IP
Treatment-3	Treatment3_AGO1IP
